Brand,Processor_Speed,RAM_Size,Storage_Capacity,Screen_Size,Weight,Price,Price_Hashed,Price_Encripted,RAM_Size_Encrypted
Asus,3.830295706209031,16,512,11.185147425848434,2.6410944247109853,17395.093064560457,e33562234b73b4ecad16901885fd503f2c4c20996e22d914da21be26f8b6a6d9,gAAAAABn3ZtIZB49Lf35iqGw96qzmejDDHrUl4-Y-JRQ2lfZvrHoj8_4PPu3PDfXE3tyTgV8YKLffzkHw_WRvMGSY5d5i5RaZTL7CmylBybEMFtbh9P-abs=,gAAAAABn3ZtInKestXeC0Kfr96Xs8fLGDufyiAKonyoxit7D7qV9k5SD-L7hDPbbJEht7VYj0bEXgEyJ_juQSQCbkSPdqv9Unw==
Acer,2.912832958973022,4,1000,11.311371797110466,3.2600122222442147,31607.60591926617,80fe437d4a9c57c4038198b7cf32f93b9f957bb705b8e10a7d481662d5c79829,gAAAAABn3ZtIPsA2uxEP5Bq2fEriOBi1sBbtpzMLPaUcoALWPG3UFUm6rFynvuMx2jzuhQIH9UIcr0vq_1_WSpZJAqMv3WLewbt-P9twLDpouNJ4WhYlNcA=,gAAAAABn3ZtIJdszbf1dsR9m2F-rZSJ48cnGwBnASEZhiNwVAHJeNeeoNko2hwMv0qkt0efUBiLuFyjbB5X6IigSpy3vYNCmBw==
Lenovo,3.2416270596922305,4,256,11.853022680223374,2.029060648222903,9291.023542338657,6254a5a18d60d796eb464283ef38f9417e12885a07742e2e9b9d09e24b6f772b,gAAAAABn3ZtIAOhbU1XfrS3DgQsdFVIpBU2uQVGAZKmQuyMcH3kSxb3L2FUr8kVHwObzdQ78-wpyCqbMbOCmEsvGrRccOzHYesp2bH7U9_1WTDnd9XMGnHU=,gAAAAABn3ZtIlFEttVihhBdi5shm7bs9jcY0zUCFie863lIAIrxjDUN3AL8ScbgmCXF3SxfO-txgjwRf1CHwSgSqY7Cqir3FHQ==
Acer,3.80624845294324,16,512,12.280360087854138,4.573865272745172,17436.72833420527,1f2910923c33a53b30bc7e6eb731307eb2e2366b3811b68769aaeafb80458375,gAAAAABn3ZtIybpSZVRuf1V5jM9FtBZQJVxJzgB5fE7tOe04Oyms-Kx6tjjFUYtahCXR6spbNbEP_I7Az8dio7gu0DwMtX19YorLQyKWf7-TEnNmKnE_4l0=,gAAAAABn3ZtIsT7ydzjRBX8WNQlBMYj2l6v8RBLpZeFHalq0fF0UKa6XOxLd9U2NNvF0wLXU2SYEB2QGdlfNYGbmC2flvxA9SQ==
Acer,3.2680965857834963,32,1000,14.990877165430431,4.193472033364752,32917.990718167515,f90738a55c90c1e31a4fb6d35f92306ff03a87001a9408b5a82a9083bcc18417,gAAAAABn3ZtIxk4hslh5xSvEqEf_fjOeKtlVOTumvy3_UrtOifRqF-4e6WgCbk0UcofCLPQlMxql8Bk-Mfv-phmV22M1Z3fPtw0L2tTQ0v6u0KijR97lcLs=,gAAAAABn3ZtIpPFlH-0Uh8tU0jN7PNelxcflowWDsI8A2LLHZUThoPquHN0vSw84T2qconaTc2toReRPcN6a-m4oaAQOjQlUoQ==
HP,1.8813476072856532,16,256,11.94395768001097,4.84026810552111,9543.719980129945,152ff98902e83cca39225afe41781193058d58e2821954fd6dc48939e53a6335,gAAAAABn3ZtITyb3lWd1REA23NTO5TU2TsrX8eeqNWjtzr2mF3EJwNSL-Gd8rFh5FoXgJMk0kHwqg8YzKR5OaMfbJkLR1OvFTJHrUod2WgMSG6p4bPowf6k=,gAAAAABn3ZtICgWae0PGNMyJw1QB3h2z8LOir8qSEMS4sXIeSt22HR3FHe-B0d9T0zn5YWFdkdeJFpoDL-1kSlVfAV4AtToQSA==
Lenovo,2.940720900417033,32,256,11.713246347062432,4.344846437589197,10390.13731921554,90d3e3d05c2cf26f052a507df2d7af7733f4784154877c484f593724ba56eb56,gAAAAABn3ZtIAP0QqyDaXzXT3kxQ0x7CTEhP7Aoldzgm3OLfQGrhKjPl4OWfl1L2FhEQUBewhCQn0t1JDGCB74qeX7ahKoqAqzCL05iw61xUIfZGF60L5F8=,gAAAAABn3ZtIagthU0x5IA8MgpjUNup_rYxbWhxcr20efiZn2uaMpJ1n6NZqLnAqrnl5GEFp9vbIGh4lreOGIqadzyX769qR5Q==
Lenovo,3.01678761595714,4,256,15.588314848857674,2.9411195361561955,9214.484505999935,981559f507d2055d3f2ff381b07fab0a3af19f070280bb2faa716381c4b55c39,gAAAAABn3ZtIBsZJc3q5UwDvmtcfzwDOQwUHCkPBdUaFARaBkw8jJ0sGNSs8eKgkpSp5M6LS-K1DEpi8udl5FWpPFKj9pMKKGtptlsdE5oq5ossj8Ms0dZ0=,gAAAAABn3ZtIzMGSuPYh1InowaGZGeDbnwCOKLlw3Hc90j3oeNFjrGokcJ5QYVlSsFd0_TS__J0e6JWUhSzz5hF4xgg2eAzuxA==
Lenovo,2.560326678255965,4,512,15.026331703159489,2.743620076185271,16372.175283874409,9d1993a7420329974c5b60f45bcc22a92da4598d58acb160db849eda7abb194c,gAAAAABn3ZtIOiSGAt0WUvcg0Ea8mvX_i4PF4O-P0xQPox6ajS8eDeH4Ff1DvQRAOo950tPdjIRsk8v58QmAEsldM_9mee43NpN4XaReTFjXQs00ntD-yXs=,gAAAAABn3ZtIuOWrty4K7yd7mr04PKA-uy19LvqdK_sZCOIACRNcRoBl9SKZkn5zQjvGejAbVEN9sETm8PrZpm4mwOkoAPpd0Q==
Acer,3.341110589061807,32,512,13.611945328731418,4.093148922659879,18501.83273321414,1ab75c9a76df5af1a9800bc1c2394bff5334234916f1049bd6f4ad86830d3d51,gAAAAABn3ZtIAD7y9BBdJHsj4reaQQygwlhh_g887NvE-piyMTbjTAAaDcofLr9zHxFwVdVF2N9Ot-mnmANiFQe14LNZ7LcG38e6vLaTYz2nUC0kIotKbyc=,gAAAAABn3ZtIIMAD6c0AlypyKvQZkAtT7g6AZycXPnAjOb9hgdzQ5hcXqpmaD-W-8i4qlDEKwOv-NKSv4RTDtAqweo06YKowpQ==
Asus,3.835917536922537,4,1000,14.295858628880625,3.0923383250314984,31967.607631536364,cc5d53247bb05bf452e7a6fb5f299dd4e7b77719007d2f200ab2fb497c02e29c,gAAAAABn3ZtII__0ynUo_cwg8juUuihQYkqyWMJH9Hqy6qJEZkCvX1WBKmPdpoK1y-Yvj7eMZ_0tzc1F0kicff9yBesTlQhlm4IK0N46RWfpDsKYYqK1Ep0=,gAAAAABn3ZtIW9S9zaDE1_6UpvhASkV5QAMXxNUxUyaFrksI4fTJLgdS5fqGb2oTt6QyZhwW4w-yPtqRZerTgru7Idw3m9PxhA==
Lenovo,3.813921282266941,32,512,12.871904121958512,3.6986450472578496,18534.108629919712,06b3c6ca37e5fef3ba7f69c3b11f896842f0e9f4bfba72137e429be10171e1d4,gAAAAABn3ZtIJafRPL7Rie9dI8ix1BJeZMyW42r1y4htVHJMk4jCENlfqwX1xqS9gbIUvYYgeR_ikRP8oXoqxYerJQJNN2ybX_pay_AFyykBuwrkQuiJypk=,gAAAAABn3ZtImE11nNfrLoYVgP2SWmKxWt9hOeQvV0X83cbYvWcRWUp4vC8Gczo7xbEGN9muL_m2ueIsD2WuvUGHZ8YkqywaOg==
Acer,2.6270984285103305,8,512,13.895002521412165,2.018772413079411,17495.98363758707,1c3514d02fadb490459d0621f8dbb4840dad5e1467ec32970d1c56ec0a074452,gAAAAABn3ZtIR2nP-kpEIppe9knPFdIXBSWVo2K6vgHiDwHrjxW89x8uIe-1zOWD9FLuVzLtN1BRJUmBsVUK7OD1y5PVJPqqBexZimi62Xk8hdtGcyYxp50=,gAAAAABn3ZtIShncgHzsUE3nLN4xv3ukueObo823UH2IgzkTa4-H8_nPzDGQUq8O1cvJygHnT3c8NSJpeaY53SeJEiInp2M3LA==
HP,1.783095114601888,16,256,14.040035893896476,2.1856571050414257,9731.982415267874,befd86541b00a1beea95c3c064e3b21738217b541cea9ae39e76d682df68a607,gAAAAABn3ZtInx35NvM4AO9oCgo0JA-Q9SNb6R9i2VbBktpoN8Opb7blTXCbROq_HWXVVrTWsdr6PQ-afzsSNHc-VpsprcbOYjXRVupMw3AEysp4XXWh5PM=,gAAAAABn3ZtI4apq7nbUoK8A3LnDE-u7LLAiQZPQ3VxpXyvGvh_fo3RN-OkyNDR9a4gHiGSyrztNTw8vaDaPqXCTONHOfCgzDA==
Asus,3.962102997405837,8,256,13.323423627068577,3.6061038235449536,9831.389961542602,a32e8112ad4cca6a4c5b4678e9a84823ea26fe724850bb8cd552aa77253725ac,gAAAAABn3ZtIHUF5DV081GKcVpyd3khgpTB20IcgBw2UXOXOA9oBGZwJr6dM489lH5HjmlVFVVFI0tmtUzZ0ixzO3hAZrzWSe4uX9xy05J7sHVYjQiovN74=,gAAAAABn3ZtI8MLXnYuaX6ZaQPj9pyK5aHX5DDgmsKsMve_yf4kkm1vBqBlRuVkyA51Tl9n2Db1Rsh1FDgKJOISPu59HrbnChQ==
HP,3.5972452161148354,32,256,16.439433264032978,3.698214939344495,11038.928125612205,4420f8ed435ae6dc11e3dc607559dac0f8f97e03fb44dfdbee0d3cad3dfdba7e,gAAAAABn3ZtI0HHbq1Rj3ZhasLZWYDw4i30WmE1-j_ZQEAW_v0Y2dd4Ewyh9nKlP-878qYJI5O2ZRbVF4ks3XNotvO1QeK4PLuQOmL2JGsQYrimVSeZWvpE=,gAAAAABn3ZtI_Rivi1e0EdKL6FbsAewEMo28O0bGl1ZPBTk2135IxY0VTBxNlKcHmkbEafsr_Ew3-mz0m3j3R1KwZIlcq3r__w==
Asus,1.8116567030081672,16,256,11.096371189886035,4.254358833378031,8971.512504748447,da2d995346a35c31f2cb036ddd79a0f5a9a4140da81b88c8c7419a60fef40691,gAAAAABn3ZtIcnCmRxAMZCtJ2GzG85zSD6O02ULe4RRAcWoFOAgLLMVccy0x-43rbPhHqLJsER0c6P_Fgs3__H7UzccUCEIG4y5uCLz1JA96e4Ntd-goidE=,gAAAAABn3ZtIlxGQo4wbA2HpuRayPmynyMt4SaHPM0VO6HpyjrnW1VkwpJnY1L5xCGP8vk5GVJS02n778XTofbEbcgg_NSqlgQ==
Acer,3.802104706543431,32,256,15.693027578547476,2.3958959588718853,10915.05717304083,d8763bc92b2968e21aba7a08f16922ca22d9c5248a821c374ced1c8603cde768,gAAAAABn3ZtIyQAQ_BSyPWgG_F4tM_iH1ybxTdkuhnxvfgMrbEzJQQ9eqc2tcnUsQYSYbJ_8F5wze_v2BkuuAqdUsAAUyawjaig_yHqpZiO0SoMekaSA2OA=,gAAAAABn3ZtIEE_jbSRGfCc16YQfG-4mCpP8En15j_KPY6mz6NBMju4UD96qN_khkuT2RTxvQ6PSymQyhb6kIqSlS7VSla3KLA==
Dell,3.674740905155321,16,256,11.746296987447948,3.539549251270336,9637.891638203962,00efcb1507b5ab10a2e80b37f59ea694bd3b66f7ad09eb9310f3cf9b61bbc826,gAAAAABn3ZtIauVk4YgEZaTsT5smqKFh5lInMP6c29fKJtLz8X9HlI5ghC19EMjUP8MOZnSKtXe5uv9C2NO9MxmdFmO4p5haM6WlFTJCgZrrOXzUKLkP94A=,gAAAAABn3ZtIb7OL9l590Xb8Z97uPgRWTcitCP2RpuplrPe4FIrheDmZAtQ9qdNFSBFQwHuiiUIX_i1hAY6Vmjs7jyki-Qydjg==
Asus,2.79709514281518,16,256,15.785284163223196,2.5833429332950657,9593.110592180388,930869f03827b8fa2e51641ee24f5bddb5e01a20a0d0575dad7f009c3f54e02d,gAAAAABn3ZtI7wUsrOXxEGi9YvyFrvqFiJRB4cS9Rkx_D7jK29bQUE3ix2nUCkp-peWp9zcna1ukdE7O1cWQh_LeEJF4ZSCjUVN99m8CRs2vVla8HftVpXY=,gAAAAABn3ZtIjQYBCuffhN5mNOV4a3qS6j3xTLnIGtWgDtRiDDb3MXtUF7ot_kje7FIC67IPyH2yvQjnW0zs2-RC8pflSCPwSQ==
HP,2.9781885893623232,16,1000,14.695471494060328,2.279588358688084,31965.356609806408,02ef9675ecf6c0700c0986428113b2d9f188e11c68256e5bffd9d5d19577984c,gAAAAABn3ZtIVfqWqzoNXvmn-iDvPR5axsZt4yM56mS-9CKvZmwjVjEDayfUHr9SF55BwOvNlVaO3e3fdYRpUN8fV9LWgdYk4r_cK4gnXZczWoskF822h2Y=,gAAAAABn3ZtIQJQZCWBE5Eg-iWGPhS4qGYQZQXoS8u1H5Iw5dI17qaXRfqgZSmz0mkNdhZpb-lx9sMPiJa8tA3dlJtx2HeZZvA==
Acer,2.4975067596753258,16,1000,16.059668545618415,3.231487382181664,32025.836689022144,fb3010b57354259609e2272ea204296bd8b47c3d478f52bcd58c35afae20ee9b,gAAAAABn3ZtIaVOhfuz0gyT7KNA-btJ2dclV4-crl2XlxR3hhioQJtf2-gD8hamfFkaUg8K6zfRBaeTqR-kVEpFqz_g-5HVOX_68NKHX3KjwjlWkXxOzL7Y=,gAAAAABn3ZtIs8GsvplXm-xowfIhEW181EC8Z1txcUrtFyVlHZUM_ao_RybUm1rnf7Dayen2z5rBBjnNA2xbSwlxs_ULRw8gXg==
Asus,1.6369040970550783,32,1000,11.585085953845384,2.490009944267172,32764.274431192796,cbae35da1050476bf6a78fd4f3dced832ea62d45e530cfadb2ef28a46a34e3e0,gAAAAABn3ZtIhtCWhl4uLbd3VX5fwh5QuXU5xciG6skOPTeee69Njyldr-Ww3FC5VQ0q9624RaJYsHQ2R2U4hpr_9IikPCr3FaBtrj4ZMAJE1e2DklqxdIk=,gAAAAABn3ZtIVQuIaWykwoUg7izfrS0sVNpHkZIAYAVqv9bIw3Hq1I7VEjmsqZ_tXsV3z5DUWuuoVWdwjslqNcwMhPdaF0dzig==
